ТЦ/ТРК,Арендатор / бренд,brand_normalized,Характеристика бренда,Категория итоговая,Категория проверенная,Категория 2ГИС/Яндекс,Тип категории,Роль tenant-mix,Источник,Источник URL,Статус строки,Статус подтверждения,Основание категории,Требует ручной проверки,Комментарий аудитора
Град Воронеж,Айкрафт Оптика,айкрафт оптика,Пересекающийся,Красота и здоровье,Красота и здоровье,Аптеки,retail/services,retail,официальный сайт,https://www.cityparkgrad.ru/shopping/apteki/aykraft-optika/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Красота и здоровье,False,Официальный каталог Сити-парк Град; раздел сайта: Аптеки; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Град Воронеж,Алоэ-Аптека,алоэ аптека,Уникальный,Красота и здоровье,Красота и здоровье,Аптеки,retail/services,retail,официальный сайт,https://www.cityparkgrad.ru/shopping/apteki/aloe-apteka/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Красота и здоровье,False,Официальный каталог Сити-парк Град; раздел сайта: Аптеки; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Град Воронеж,Арт-пространство,арт пространство,Уникальный,"Аксессуары, сумки и ювелирные изделия","Аксессуары, сумки и ювелирные изделия",Аксессуары,retail/services,retail,официальный сайт,https://www.cityparkgrad.ru/shopping/aksessuary/art-prostranstvo/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15","ручное правило: ключевые слова -> Аксессуары, сумки и ювелирные изделия",False,Официальный каталог Сити-парк Град; раздел сайта: Аксессуары; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Град Воронеж,АШАН,ашан,Пересекающийся,Продукты и супермаркеты,"Аксессуары, сумки и ювелирные изделия",Аксессуары,retail/services,retail,официальный сайт,https://www.cityparkgrad.ru/shopping/aksessuary/ashan/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15","ручное правило: ключевые слова -> Аксессуары, сумки и ювелирные изделия; категория нормализована по образцу Фантастики для того же бренда",False,Официальный каталог Сити-парк Град; раздел сайта: Аксессуары; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Град Воронеж,Банк Авангард,банк авангард,Уникальный,Финансовые услуги,Финансовые услуги,Услуги,retail/services,service,официальный сайт,https://www.cityparkgrad.ru/shopping/uslugi/bank-avangard/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Финансовые услуги,False,Официальный каталог Сити-парк Град; раздел сайта: Услуги; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Град Воронеж,Белорусская косметика,белорусская косметика,Пересекающийся,Красота и здоровье,Красота и здоровье,Косметика,retail/services,retail,официальный сайт,https://www.cityparkgrad.ru/shopping/kosmetika/belorusskaya-kosmetika/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Красота и здоровье,False,Официальный каталог Сити-парк Град; раздел сайта: Косметика; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Град Воронеж,Билайн,билайн,Пересекающийся,"Электроника, техника и связь","Электроника, техника и связь",Сотовая связь и интернет,retail/services,retail,официальный сайт,https://www.cityparkgrad.ru/shopping/kompyutery/bilayn/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15","ручное правило: ключевые слова -> Электроника, техника и связь",False,Официальный каталог Сити-парк Град; раздел сайта: Сотовая связь и интернет; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Град Воронеж,Блинчик,блинчик,Уникальный,Кафе и рестораны,Кафе и рестораны,Продукты,retail/services,food,официальный сайт,https://www.cityparkgrad.ru/shopping/produkty/blinchik/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Кафе и рестораны,False,Официальный каталог Сити-парк Град; раздел сайта: Продукты; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Град Воронеж,Бриллиантовая ручка,бриллиантовая ручка,Уникальный,"Аксессуары, сумки и ювелирные изделия","Аксессуары, сумки и ювелирные изделия",Ювелирные изделия,retail/services,retail,официальный сайт,https://www.cityparkgrad.ru/shopping/yuvelirnye-salony/bruka/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15","ручное правило: ключевые слова -> Аксессуары, сумки и ювелирные изделия",False,Официальный каталог Сити-парк Град; раздел сайта: Ювелирные изделия; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Град Воронеж,Бюро дней рождения и квестов,бюро дней рождения и квестов,Уникальный,Развлечения и досуг,Развлечения и досуг,Развлечения,retail/services,leisure,официальный сайт,https://www.cityparkgrad.ru/razvlecheniya/byuro-dney-rozhdeniya-i-kvestov/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",брендовый override категории: Развлечения и досуг,False,Официальный каталог Сити-парк Град; раздел сайта: Развлечения; список: https://www.cityparkgrad.ru/razvlecheniya/; режим списка: cache; режим карточки: cache
Град Воронеж,Вкусно,вкусно,Пересекающийся,Кафе и рестораны,Кафе и рестораны,Кафе и рестораны,retail/services,food,официальный сайт,https://www.cityparkgrad.ru/cafes/vkusno-i-tochka/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Кафе и рестораны,False,Официальный каталог Сити-парк Град; раздел сайта: Кафе и рестораны; список: https://www.cityparkgrad.ru/cafes/; режим списка: cache; режим карточки: cache
Град Воронеж,Галерея,галерея,Уникальный,"Аксессуары, сумки и ювелирные изделия","Аксессуары, сумки и ювелирные изделия",Аксессуары,retail/services,retail,официальный сайт,https://www.cityparkgrad.ru/shopping/aksessuary/galereya/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15","ручное правило: ключевые слова -> Аксессуары, сумки и ювелирные изделия",False,Официальный каталог Сити-парк Град; раздел сайта: Аксессуары; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Град Воронеж,Грабли 🍡,грабли,Уникальный,Кафе и рестораны,Кафе и рестораны,Кафе и рестораны,retail/services,food,официальный сайт,https://www.cityparkgrad.ru/cafes/grabli/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Кафе и рестораны,False,Официальный каталог Сити-парк Град; раздел сайта: Кафе и рестораны; список: https://www.cityparkgrad.ru/cafes/; режим списка: cache; режим карточки: cache
Град Воронеж,Детский мир,детский мир,Пересекающийся,Детские товары,Детские товары,Детские товары,retail/services,retail,официальный сайт,https://www.cityparkgrad.ru/shopping/detskie-tovary/detskiy-mir/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Детские товары,False,Официальный каталог Сити-парк Град; раздел сайта: Детские товары; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Град Воронеж,Диван Boss,диван boss,Пересекающийся,"Товары для дома, мебель и интерьер","Товары для дома, мебель и интерьер",Товары для дома,retail/services,retail,официальный сайт,https://www.cityparkgrad.ru/shopping/tovary-dlya-doma/divan-boss/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15","ручное правило: ключевые слова -> Товары для дома, мебель и интерьер",False,Официальный каталог Сити-парк Град; раздел сайта: Товары для дома; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Град Воронеж,Др.Холли,др холли,Уникальный,Зоотовары,Прочее,Зоотовары,retail/services,retail,официальный сайт,https://www.cityparkgrad.ru/shopping/zootovary/dr-kholli/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Зоотовары,False,Официальный каталог Сити-парк Град; раздел сайта: Зоотовары; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Град Воронеж,Дрифт-картинг,дрифт картинг,Уникальный,Развлечения и досуг,Развлечения и досуг,Развлечения,retail/services,leisure,официальный сайт,https://www.cityparkgrad.ru/razvlecheniya/drift-karting/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Развлечения и досуг,False,Официальный каталог Сити-парк Град; раздел сайта: Развлечения; список: https://www.cityparkgrad.ru/razvlecheniya/; режим списка: cache; режим карточки: cache
Град Воронеж,Жар-пицца,жар пицца,Пересекающийся,Кафе и рестораны,Кафе и рестораны,Кафе и рестораны,retail/services,food,официальный сайт,https://www.cityparkgrad.ru/cafes/zhar-pitstsa/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Кафе и рестораны,False,Официальный каталог Сити-парк Град; раздел сайта: Кафе и рестораны; список: https://www.cityparkgrad.ru/cafes/; режим списка: cache; режим карточки: cache
Град Воронеж,КидБург,кидбург,Пересекающийся,Развлечения и досуг,Развлечения и досуг,Развлечения,retail/services,leisure,официальный сайт,https://www.cityparkgrad.ru/razvlecheniya/kidburg/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",брендовый override категории: Развлечения и досуг,False,Официальный каталог Сити-парк Град; раздел сайта: Развлечения; список: https://www.cityparkgrad.ru/razvlecheniya/; режим списка: cache; режим карточки: cache
Град Воронеж,Мой город,мой город,Уникальный,Развлечения и досуг,Развлечения и досуг,Развлечения,retail/services,leisure,официальный сайт,https://www.cityparkgrad.ru/razvlecheniya/moygorod/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Развлечения и досуг,False,Официальный каталог Сити-парк Град; раздел сайта: Развлечения; список: https://www.cityparkgrad.ru/razvlecheniya/; режим списка: cache; режим карточки: cache
Град Воронеж,МТС Live Холл,мтс live холл,Уникальный,Развлечения и досуг,Развлечения и досуг,Развлечения,retail/services,leisure,официальный сайт,https://www.cityparkgrad.ru/razvlecheniya/mts-live-kholl-/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",брендовый override категории: Развлечения и досуг,False,Официальный каталог Сити-парк Град; раздел сайта: Развлечения; список: https://www.cityparkgrad.ru/razvlecheniya/; режим списка: cache; режим карточки: cache
Град Воронеж,Океанариум,океанариум,Уникальный,Развлечения и досуг,Развлечения и досуг,Развлечения,retail/services,leisure,официальный сайт,https://www.cityparkgrad.ru/razvlecheniya/okeanarium/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",брендовый override категории: Развлечения и досуг,False,Официальный каталог Сити-парк Град; раздел сайта: Развлечения; список: https://www.cityparkgrad.ru/razvlecheniya/; режим списка: cache; режим карточки: cache
Град Воронеж,Парк аттракционов,парк аттракционов,Уникальный,Развлечения и досуг,Развлечения и досуг,Развлечения,retail/services,leisure,официальный сайт,https://www.cityparkgrad.ru/razvlecheniya/park-attraktsionov/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",брендовый override категории: Развлечения и досуг,False,Официальный каталог Сити-парк Град; раздел сайта: Развлечения; список: https://www.cityparkgrad.ru/razvlecheniya/; режим списка: cache; режим карточки: cache
Град Воронеж,Паровозик,паровозик,Пересекающийся,Развлечения и досуг,Развлечения и досуг,Развлечения,retail/services,leisure,официальный сайт,https://www.cityparkgrad.ru/razvlecheniya/parovozik/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Развлечения и досуг,False,Официальный каталог Сити-парк Град; раздел сайта: Развлечения; список: https://www.cityparkgrad.ru/razvlecheniya/; режим списка: cache; режим карточки: cache
Град Воронеж,Песочница,песочница,Уникальный,Развлечения и досуг,Развлечения и досуг,Развлечения,retail/services,leisure,официальный сайт,https://www.cityparkgrad.ru/razvlecheniya/pesochnitsa/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Развлечения и досуг,False,Официальный каталог Сити-парк Град; раздел сайта: Развлечения; список: https://www.cityparkgrad.ru/razvlecheniya/; режим списка: cache; режим карточки: cache
Град Воронеж,Ростикс,ростикс,Пересекающийся,Кафе и рестораны,Кафе и рестораны,Кафе и рестораны,retail/services,food,официальный сайт,https://www.cityparkgrad.ru/cafes/rostic-s/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Кафе и рестораны,False,Официальный каталог Сити-парк Град; раздел сайта: Кафе и рестораны; список: https://www.cityparkgrad.ru/cafes/; режим списка: cache; режим карточки: cache
Град Воронеж,Сити Кейтеринг,сити кейтеринг,Уникальный,Кафе и рестораны,Кафе и рестораны,Кафе и рестораны,retail/services,food,официальный сайт,https://www.cityparkgrad.ru/cafes/city-catering/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Кафе и рестораны,False,Официальный каталог Сити-парк Град; раздел сайта: Кафе и рестораны; список: https://www.cityparkgrad.ru/cafes/; режим списка: cache; режим карточки: cache
Град Воронеж,Суши в дом: суши-бар,суши в дом суши бар,Уникальный,Кафе и рестораны,Кафе и рестораны,Кафе и рестораны,retail/services,food,официальный сайт,https://www.cityparkgrad.ru/cafes/sushi-v-dom/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Кафе и рестораны,False,Официальный каталог Сити-парк Град; раздел сайта: Кафе и рестораны; список: https://www.cityparkgrad.ru/cafes/; режим списка: cache; режим карточки: cache
Град Воронеж,Сыто-Пряно,сыто пряно,Уникальный,Кафе и рестораны,Кафе и рестораны,Кафе и рестораны,retail/services,food,официальный сайт,https://www.cityparkgrad.ru/cafes/syto-pryano/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Кафе и рестораны,False,Официальный каталог Сити-парк Град; раздел сайта: Кафе и рестораны; список: https://www.cityparkgrad.ru/cafes/; режим списка: cache; режим карточки: cache
Град Воронеж,Ташир,ташир,Уникальный,Кафе и рестораны,Кафе и рестораны,Кафе и рестораны,retail/services,food,официальный сайт,https://www.cityparkgrad.ru/cafes/tashir/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Кафе и рестораны,False,Официальный каталог Сити-парк Град; раздел сайта: Кафе и рестораны; список: https://www.cityparkgrad.ru/cafes/; режим списка: cache; режим карточки: cache
Град Воронеж,Шаверма кафе-магазин,шаверма кафе магазин,Уникальный,Кафе и рестораны,Кафе и рестораны,Кафе и рестораны,retail/services,food,официальный сайт,https://www.cityparkgrad.ru/cafes/shaverma/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15",ручное правило: ключевые слова -> Кафе и рестораны,False,Официальный каталог Сити-парк Град; раздел сайта: Кафе и рестораны; список: https://www.cityparkgrad.ru/cafes/; режим списка: cache; режим карточки: cache
Град Воронеж,ЭПЛ Даймонд,эпл даймонд,Пересекающийся,"Аксессуары, сумки и ювелирные изделия","Аксессуары, сумки и ювелирные изделия",Ювелирные изделия,retail/services,retail,официальный сайт,https://www.cityparkgrad.ru/shopping/yuvelirnye-salony/epl-daymond/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15","ручное правило: ключевые слова -> Аксессуары, сумки и ювелирные изделия",False,Официальный каталог Сити-парк Град; раздел сайта: Ювелирные изделия; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Град Воронеж,Ювелир-Карат,ювелир карат,Уникальный,"Аксессуары, сумки и ювелирные изделия","Аксессуары, сумки и ювелирные изделия",Ювелирные изделия,retail/services,retail,официальный сайт,https://www.cityparkgrad.ru/shopping/yuvelirnye-salony/yuvelir-karat/,дозагружено из регионального официального каталога,"подтверждено официальным сайтом/официальным архивным снимком, автосверка 2026-07-15","ручное правило: ключевые слова -> Аксессуары, сумки и ювелирные изделия",False,Официальный каталог Сити-парк Град; раздел сайта: Ювелирные изделия; список: https://www.cityparkgrad.ru/shopping/; режим списка: cache; режим карточки: cache
Жар-Птица,ARDES,ardes,Уникальный,"Товары для дома, мебель и интерьер","Товары для дома, мебель и интерьер",Интерьерный салон,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/ardes,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10","ручное правило: ключевые слова -> Товары для дома, мебель и интерьер",False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Интерьер Молл: Интерьерные решения; исходная рубрика: Интерьерный салон
Жар-Птица,ARTKERA Group,artkera group,Уникальный,"Электроника, техника и связь","Электроника, техника и связь",Сантехника,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/plumbingnn,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10","ручное правило: ключевые слова -> Электроника, техника и связь",False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Интерьер Молл: Сантехника для дома; исходная рубрика: Сантехника
Жар-Птица,Askona,askona,Пересекающийся,"Товары для дома, мебель и интерьер","Товары для дома, мебель и интерьер",товары и мебель для сна,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/askona,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10","ручное правило: ключевые слова -> Товары для дома, мебель и интерьер",False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Интерьер Молл: Мягкая и корпусная мебель; исходная рубрика: товары и мебель для сна
Жар-Птица,Barbermot,barbermot,Уникальный,Красота и здоровье,Красота и здоровье,Барбершопы,services,услуги красоты,2ГИС inside,https://2gis.ru/n_novgorod/firm/70000001020433405/tab/inside,дозагружено,"проверено по 2ГИС/Яндекс, ручная классификация",ручное правило: ключевые слова -> Красота и здоровье,False,Классифицировано вручную по названию/рубрике геосервиса; при конфликте с официальным сайтом нужен приоритет официального tenant-list.
Жар-Птица,Befree,befree,Пересекающийся,Одежда,Одежда,,retail,fashion-ядро,официальный сайт,https://zharptitsann.ru/stores,из текущей базы,OK,исходная проверенная категория,False,официальный сайт раскрывает категории и отдельные бренды; полный список аренд...
Жар-Птица,Belwest,belwest,Пересекающийся,Обувь,Обувь,Магазин обуви,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/belwestnn,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10",ручное правило: ключевые слова -> Обувь,False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Магазины обуви и сумок; исходная рубрика: Магазин обуви
Жар-Птица,BIRUZA,biruza,Пересекающийся,Красота и здоровье,Красота и здоровье,Магазин корейской косметики,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/biruza,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10",ручное правило: ключевые слова -> Красота и здоровье,False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Парфюмерия и косметика; исходная рубрика: Магазин корейской косметики
Жар-Птица,BOOT,boot,Уникальный,Обувь,Обувь,Магазин обуви,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/boot,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10",ручное правило: ключевые слова -> Обувь,False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Магазины обуви и сумок; исходная рубрика: Магазин обуви
Жар-Птица,Burger King,burger king,Пересекающийся,Кафе и рестораны,Кафе и рестораны,,food & beverage,удержание трафика / dwell time,официальный сайт,https://zharptitsann.ru/stores,из текущей базы,OK,брендовый override категории: Кафе и рестораны,False,официальный сайт раскрывает категории и отдельные бренды; полный список аренд...
Жар-Птица,CLEVER,clever,Пересекающийся,Одежда,Одежда,Магазин одежды,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/clevernn,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10",исходная проверенная категория,False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Магазины одежды; исходная рубрика: Магазин одежды
Жар-Птица,Coffee Like,coffee like,Пересекающийся,Кафе и рестораны,Кафе и рестораны,,food & beverage,удержание трафика / dwell time,официальный сайт,https://zharptitsann.ru/stores,из текущей базы,OK,исходная проверенная категория,False,официальный сайт раскрывает категории и отдельные бренды; полный список аренд...
Жар-Птица,COFFEE TALE,coffee tale,Уникальный,Кафе и рестораны,Кафе и рестораны,Кофейня,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/onepriccecoffee,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10",ручное правило: ключевые слова -> Кафе и рестораны,False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Кофейни; исходная рубрика: Кофейня
Жар-Птица,CR (CROPP),cr cropp,Уникальный,Одежда,Одежда,Магазин одежды,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/cr,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10",исходная проверенная категория,False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Магазины одежды; исходная рубрика: Магазин одежды
Жар-Птица,Crockid,crockid,Пересекающийся,Детские товары,Детские товары,Магазин детской одежды,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/crockidnn,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10",ручное правило: ключевые слова -> Детские товары,False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Детские товары; исходная рубрика: Магазин детской одежды
Жар-Птица,DIAMANT,diamant,Уникальный,"Аксессуары, сумки и ювелирные изделия","Аксессуары, сумки и ювелирные изделия",Ювелирные изделия и часы,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/diamantnn,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10","ручное правило: ключевые слова -> Аксессуары, сумки и ювелирные изделия",False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Ювелирные салоны; исходная рубрика: Ювелирные изделия и часы
Жар-Птица,Diamoll,diamoll,Уникальный,"Товары для дома, мебель и интерьер","Товары для дома, мебель и интерьер",мебельная фабрика,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/diamond,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10","ручное правило: ключевые слова -> Товары для дома, мебель и интерьер",False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Интерьер Молл: Мягкая и корпусная мебель; исходная рубрика: мебельная фабрика
Жар-Птица,Divan BOSS,divan boss,Пересекающийся,"Товары для дома, мебель и интерьер","Товары для дома, мебель и интерьер",мягкая мебель,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/divanboss,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10","ручное правило: ключевые слова -> Товары для дома, мебель и интерьер",False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Интерьер Молл: Мягкая и корпусная мебель; исходная рубрика: мягкая мебель
Жар-Птица,DNS,dns,Пересекающийся,"Электроника, техника и связь","Электроника, техника и связь",Цифровая и бытовая техника,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/dnsnn,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10","ручное правило: ключевые слова -> Электроника, техника и связь",False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Цифровая и бытовая техника; исходная рубрика: Цифровая и бытовая техника
Жар-Птица,DNS TechnoPoint,dns technopoint,Уникальный,Услуги,Услуги,Услуги,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/servicesnn,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10",ручное правило: ключевые слова -> Услуги,False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Интерьер Молл: Услуги; исходная рубрика: Услуги
Жар-Птица,Dream Aero,dream aero,Пересекающийся,Развлечения и досуг,Развлечения и досуг,Авиасимулятор,retail/services,дозаполнение по официальному каталогу,официальный сайт,https://zharptitsann.ru/dreamaero,дозагружено автосверкой официального каталога,"подтверждено официальным сайтом, автосверка 2026-07-10",исходная проверенная категория,False,Найдено в официальном каталоге Жар-Птица; раздел сайта: Развлечения; исходная рубрика: Авиасимулятор
